customer_id,total_sessions,total_purchases,total_revenue,average_order_value,average_pages_viewed,average_time_on_site,average_rating,total_quantity,average_discount,cart_additions,cart_abandoned,purchase_rate,abandonment_rate
1000,2,1,1228.72,614.36,17.5,1014.0,3.5,7,17.5,2,1,0.5,0.5
1001,1,0,0.0,0.0,15.0,996.0,4.0,4,0.0,0,0,0.0,0.0
1002,3,0,0.0,0.0,8.333333333333334,313.6666666666667,4.0,8,3.3333333333333335,2,2,0.0,1.0
1003,3,1,1681.96,560.6533333333333,5.666666666666667,695.3333333333334,4.333333333333333,9,11.666666666666666,1,0,0.3333333333333333,0.0
1004,3,0,0.0,0.0,12.333333333333334,923.6666666666666,4.0,5,16.666666666666668,1,1,0.0,1.0
1005,3,0,0.0,0.0,14.0,312.3333333333333,4.0,12,15.0,2,2,0.0,1.0
1006,2,0,0.0,0.0,13.5,1145.0,4.0,8,10.0,1,1,0.0,1.0
1007,1,0,0.0,0.0,22.0,557.0,4.0,1,20.0,0,0,0.0,0.0
1008,5,1,1546.42,309.284,9.8,829.2,4.0,11,17.0,2,1,0.2,0.5
1009,5,3,4616.63,923.326,11.0,806.6,4.2,13,12.0,5,2,0.6,0.4
1011,4,0,0.0,0.0,10.75,894.25,4.0,14,5.0,2,2,0.0,1.0
1012,3,0,0.0,0.0,12.666666666666666,700.0,4.0,4,8.333333333333334,1,1,0.0,1.0
1013,2,0,0.0,0.0,19.5,267.0,4.0,8,0.0,0,0,0.0,0.0
1014,4,1,2423.92,605.98,11.75,985.0,4.25,9,5.0,2,1,0.25,0.5
1015,1,0,0.0,0.0,3.0,1405.0,4.0,2,0.0,1,1,0.0,1.0
1016,1,0,0.0,0.0,2.0,1523.0,4.0,4,30.0,0,0,0.0,0.0
1017,2,0,0.0,0.0,10.0,565.5,4.0,8,5.0,1,1,0.0,1.0
1018,1,0,0.0,0.0,22.0,875.0,4.0,1,15.0,1,1,0.0,1.0
1019,1,0,0.0,0.0,10.0,1096.0,4.0,1,10.0,0,0,0.0,0.0
1020,4,0,0.0,0.0,10.25,1165.25,4.0,13,6.25,3,3,0.0,1.0
1021,5,0,0.0,0.0,6.6,1136.8,4.0,14,9.0,3,3,0.0,1.0
1022,1,0,0.0,0.0,6.0,1751.0,4.0,3,0.0,0,0,0.0,0.0
1023,2,0,0.0,0.0,5.5,325.0,4.0,5,5.0,1,1,0.0,1.0
1024,2,0,0.0,0.0,10.5,774.0,4.0,4,0.0,0,0,0.0,0.0
1025,2,0,0.0,0.0,5.0,582.0,4.0,4,7.5,2,2,0.0,1.0
1026,3,1,244.3,81.43333333333334,16.333333333333332,603.0,4.0,6,5.0,3,2,0.3333333333333333,0.6666666666666666
1027,4,0,0.0,0.0,14.25,1235.5,4.0,11,3.75,0,0,0.0,0.0
1028,5,1,2328.44,465.688,11.4,956.6,4.0,15,5.0,4,3,0.2,0.75
1029,1,1,357.02,357.02,17.0,272.0,5.0,1,15.0,1,0,1.0,0.0
1030,3,0,0.0,0.0,8.666666666666666,792.3333333333334,4.0,5,0.0,1,1,0.0,1.0
1031,4,2,2231.42,557.855,19.25,1274.0,4.25,11,16.25,4,2,0.5,0.5
1032,4,0,0.0,0.0,11.25,973.75,4.0,8,10.0,1,1,0.0,1.0
1033,5,1,571.06,114.21199999999999,17.0,480.2,4.2,13,9.0,2,1,0.2,0.5
1034,1,0,0.0,0.0,19.0,1748.0,4.0,3,0.0,1,1,0.0,1.0
1035,4,1,325.77,81.4425,12.25,733.0,4.0,11,3.75,3,2,0.25,0.6666666666666666
1036,3,1,395.17,131.72333333333333,13.666666666666666,170.0,4.333333333333333,5,6.666666666666667,2,1,0.3333333333333333,0.5
1037,4,0,0.0,0.0,16.0,1087.0,4.0,10,11.25,2,2,0.0,1.0
1038,4,1,4503.98,1125.995,7.75,1076.0,4.0,11,7.5,3,2,0.25,0.6666666666666666
1039,4,2,1852.98,463.245,19.0,1146.5,4.25,11,13.75,3,1,0.5,0.3333333333333333
1040,5,2,7417.69,1483.538,5.0,1016.0,3.6,15,3.0,5,3,0.4,0.6
1041,2,1,1296.48,648.24,19.0,1041.5,3.5,4,2.5,2,1,0.5,0.5
1042,5,3,4330.68,866.1360000000001,14.2,525.2,4.4,12,7.0,5,2,0.6,0.4
1043,1,0,0.0,0.0,17.0,152.0,4.0,4,20.0,1,1,0.0,1.0
1044,7,2,1008.62,144.08857142857144,10.285714285714286,888.5714285714286,3.5714285714285716,22,15.714285714285714,5,3,0.2857142857142857,0.6
1045,2,0,0.0,0.0,16.0,868.0,4.0,8,5.0,1,1,0.0,1.0
1046,3,0,0.0,0.0,12.0,461.3333333333333,4.0,11,15.0,0,0,0.0,0.0
1047,5,1,922.92,184.584,9.8,783.2,4.2,12,9.0,3,2,0.2,0.6666666666666666
1048,3,0,0.0,0.0,13.333333333333334,1699.0,4.0,12,11.666666666666666,2,2,0.0,1.0
1049,4,0,0.0,0.0,13.25,951.75,4.0,8,13.75,2,2,0.0,1.0
1050,3,0,0.0,0.0,11.333333333333334,806.0,4.0,4,11.666666666666666,2,2,0.0,1.0
1051,3,0,0.0,0.0,16.333333333333332,715.0,4.0,4,13.333333333333334,1,1,0.0,1.0
1052,6,0,0.0,0.0,10.666666666666666,780.5,4.0,13,1.6666666666666667,4,4,0.0,1.0
1053,1,0,0.0,0.0,9.0,1385.0,4.0,4,30.0,0,0,0.0,0.0
1054,5,1,2322.16,464.43199999999996,12.2,535.0,4.0,14,2.0,2,1,0.2,0.5
1055,2,0,0.0,0.0,17.0,1525.0,4.0,3,5.0,1,1,0.0,1.0
1056,1,1,345.71,345.71,19.0,375.0,4.0,1,0.0,1,0,1.0,0.0
1057,4,0,0.0,0.0,10.0,1014.25,4.0,10,3.75,1,1,0.0,1.0
1058,3,2,6257.73,2085.91,16.666666666666668,903.3333333333334,3.3333333333333335,9,11.666666666666666,2,0,0.6666666666666666,0.0
1059,2,0,0.0,0.0,17.5,947.0,4.0,6,20.0,1,1,0.0,1.0
1060,1,0,0.0,0.0,10.0,1131.0,4.0,2,15.0,0,0,0.0,0.0
1061,2,0,0.0,0.0,10.5,1219.0,4.0,5,7.5,2,2,0.0,1.0
1062,3,2,5304.35,1768.1166666666668,19.0,1032.0,3.6666666666666665,8,13.333333333333334,2,0,0.6666666666666666,0.0
1063,3,0,0.0,0.0,15.0,914.0,4.0,8,11.666666666666666,2,2,0.0,1.0
1064,1,0,0.0,0.0,17.0,1377.0,4.0,4,30.0,1,1,0.0,1.0
1065,1,1,7889.36,7889.36,6.0,1586.0,5.0,4,0.0,1,0,1.0,0.0
1066,4,1,3654.18,913.545,5.75,852.0,4.0,12,17.5,3,2,0.25,0.6666666666666666
1067,4,1,2032.07,508.0175,11.0,889.25,4.25,13,8.75,4,3,0.25,0.75
1068,2,0,0.0,0.0,8.0,928.5,4.0,2,0.0,1,1,0.0,1.0
1069,3,0,0.0,0.0,5.0,603.3333333333334,4.0,10,18.333333333333332,0,0,0.0,0.0
1070,3,0,0.0,0.0,9.666666666666666,1023.6666666666666,4.0,7,5.0,0,0,0.0,0.0
1071,5,1,1331.9,266.38,15.0,1117.6,4.0,13,7.0,2,1,0.2,0.5
1072,1,0,0.0,0.0,7.0,1566.0,4.0,4,20.0,1,1,0.0,1.0
1073,2,0,0.0,0.0,11.5,387.0,4.0,2,15.0,2,2,0.0,1.0
1074,1,0,0.0,0.0,5.0,856.0,4.0,1,0.0,1,1,0.0,1.0
1075,2,0,0.0,0.0,21.5,1292.0,4.0,4,0.0,1,1,0.0,1.0
1076,4,1,1449.62,362.405,19.25,882.25,3.5,7,8.75,3,2,0.25,0.6666666666666666
1077,3,1,1959.6,653.1999999999999,7.0,526.0,4.0,8,0.0,2,1,0.3333333333333333,0.5
1078,2,1,490.0,245.0,4.5,1327.0,4.0,5,10.0,1,0,0.5,0.0
1079,4,1,4252.77,1063.1925,7.25,1218.0,3.5,11,2.5,3,2,0.25,0.6666666666666666
1080,4,1,2111.96,527.99,6.5,765.5,4.25,14,12.5,1,0,0.25,0.0
1081,1,0,0.0,0.0,2.0,910.0,4.0,2,0.0,1,1,0.0,1.0
1082,3,1,1601.42,533.8066666666667,9.666666666666666,1434.6666666666667,4.0,7,10.0,3,2,0.3333333333333333,0.6666666666666666
1083,4,1,1056.76,264.19,8.25,926.25,4.0,9,10.0,3,2,0.25,0.6666666666666666
1084,3,1,3648.04,1216.0133333333333,7.333333333333333,1055.6666666666667,3.6666666666666665,9,0.0,2,1,0.3333333333333333,0.5
1086,3,1,1236.24,412.08,12.333333333333334,524.3333333333334,3.6666666666666665,10,0.0,2,1,0.3333333333333333,0.5
1087,3,1,222.61,74.20333333333333,17.666666666666668,951.0,4.0,9,11.666666666666666,1,0,0.3333333333333333,0.0
1088,1,0,0.0,0.0,1.0,1666.0,4.0,2,20.0,1,1,0.0,1.0
1089,3,1,2169.46,723.1533333333333,16.333333333333332,856.3333333333334,4.0,8,6.666666666666667,3,2,0.3333333333333333,0.6666666666666666
1090,7,1,3331.6,475.9428571428571,14.571428571428571,776.7142857142857,4.0,14,3.5714285714285716,4,3,0.14285714285714285,0.75
1091,4,0,0.0,0.0,14.75,1005.25,4.0,9,10.0,2,2,0.0,1.0
1092,2,1,2987.93,1493.965,12.5,173.0,4.5,6,17.5,2,1,0.5,0.5
1093,1,0,0.0,0.0,3.0,193.0,4.0,3,0.0,0,0,0.0,0.0
1094,2,0,0.0,0.0,6.5,1235.5,4.0,2,2.5,1,1,0.0,1.0
1095,3,2,3681.54,1227.18,3.6666666666666665,474.0,4.0,9,1.6666666666666667,3,1,0.6666666666666666,0.3333333333333333
1096,4,2,4912.93,1228.2325,16.0,846.5,4.0,12,5.0,3,1,0.5,0.3333333333333333
1097,2,0,0.0,0.0,6.0,1629.5,4.0,8,2.5,1,1,0.0,1.0
1098,3,0,0.0,0.0,12.666666666666666,1288.0,4.0,7,11.666666666666666,2,2,0.0,1.0
1099,5,1,2717.82,543.5640000000001,16.8,858.0,4.2,13,6.0,4,3,0.2,0.75
1100,2,2,788.77,394.385,5.0,988.0,2.5,3,2.5,2,0,1.0,0.0
1101,1,1,1339.45,1339.45,14.0,168.0,2.0,2,10.0,1,0,1.0,0.0
1102,3,0,0.0,0.0,14.666666666666666,1455.3333333333333,4.0,5,13.333333333333334,1,1,0.0,1.0
1104,1,0,0.0,0.0,15.0,809.0,4.0,1,15.0,1,1,0.0,1.0
1105,4,1,1244.58,311.145,16.75,761.75,4.0,8,8.75,3,2,0.25,0.6666666666666666
